innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,34.0,212.0,Australia,87.0,3.0,87.0,0.4328219,0.40218344,0.16499472
1.0,1.0,35.0,213.0,Australia,91.0,3.0,91.0,0.40236145,0.40130368,0.19633488
1.0,1.0,35.0,214.0,Australia,91.0,3.0,91.0,0.40478802,0.39967427,0.19553769
1.0,1.0,35.0,215.0,Australia,91.0,3.0,91.0,0.40203914,0.39696014,0.20100069
1.0,1.0,35.0,216.0,Australia,91.0,3.0,91.0,0.40203914,0.39696014,0.20100069
1.0,1.0,35.0,217.0,Australia,93.0,3.0,93.0,0.40242407,0.40136614,0.19620977
1.0,1.0,35.0,218.0,Australia,93.0,3.0,93.0,0.57014513,0.23654383,0.193311
1.0,1.0,36.0,219.0,Australia,94.0,3.0,94.0,0.48816627,0.31332088,0.19851285
1.0,1.0,36.0,220.0,Australia,95.0,3.0,95.0,0.4496123,0.35838807,0.19199963
1.0,1.0,36.0,221.0,Australia,95.0,3.0,95.0,0.44580862,0.36086482,0.1933265
1.0,1.0,36.0,222.0,Australia,95.0,3.0,95.0,0.44580862,0.36086482,0.1933265
1.0,1.0,36.0,223.0,Australia,95.0,3.0,95.0,0.45032117,0.36451757,0.18516126
1.0,1.0,36.0,224.0,Australia,96.0,3.0,96.0,0.49175155,0.3091515,0.19909696
1.0,1.0,37.0,225.0,Australia,97.0,3.0,97.0,0.49559668,0.30681267,0.19759072
1.0,1.0,37.0,226.0,Australia,97.0,3.0,97.0,0.49175155,0.3091515,0.19909696
1.0,1.0,37.0,227.0,Australia,97.0,3.0,97.0,0.48894703,0.30738837,0.20366468
1.0,1.0,37.0,228.0,Australia,97.0,3.0,97.0,0.48894703,0.30738837,0.20366468
1.0,1.0,37.0,229.0,Australia,97.0,3.0,97.0,0.4873846,0.30640608,0.20620929
1.0,1.0,37.0,230.0,Australia,100.0,3.0,100.0,0.46320692,0.34508815,0.1917049
1.0,1.0,38.0,231.0,Australia,100.0,3.0,100.0,0.50157523,0.3024894,0.19593535
1.0,1.0,38.0,232.0,Australia,100.0,3.0,100.0,0.50157523,0.3024894,0.19593535
1.0,1.0,38.0,233.0,Australia,102.0,3.0,102.0,0.5006283,0.30191833,0.19745338
