innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,32.0,201.0,England,162.0,1.0,162.0,0.7420676,0.11206036,0.14587206
1.0,1.0,32.0,202.0,England,162.0,1.0,162.0,0.7420676,0.11206036,0.14587206
1.0,1.0,32.0,203.0,England,164.0,1.0,164.0,0.7420676,0.11206036,0.14587206
1.0,1.0,32.0,204.0,England,164.0,2.0,164.0,0.7162614,0.12953925,0.1541993
1.0,1.0,32.0,205.0,England,166.0,2.0,166.0,0.7162614,0.12953925,0.1541993
1.0,1.0,32.0,206.0,England,170.0,2.0,170.0,0.7217944,0.12515153,0.15305407
1.0,1.0,33.0,207.0,England,170.0,3.0,170.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,208.0,England,170.0,3.0,170.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,209.0,England,170.0,3.0,170.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,210.0,England,170.0,3.0,170.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,211.0,England,171.0,3.0,171.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,212.0,England,171.0,3.0,171.0,0.7032428,0.13291799,0.16383927
1.0,1.0,33.0,213.0,England,171.0,3.0,171.0,0.7032428,0.13291799,0.16383927
1.0,1.0,34.0,214.0,England,171.0,3.0,171.0,0.6589037,0.18998256,0.15111373
1.0,1.0,34.0,215.0,England,176.0,3.0,176.0,0.6594155,0.19013013,0.1504544
1.0,1.0,34.0,216.0,England,177.0,3.0,177.0,0.7039216,0.17283891,0.12323949
1.0,1.0,34.0,217.0,England,182.0,3.0,182.0,0.71051717,0.1691259,0.12035691
1.0,1.0,34.0,218.0,England,183.0,3.0,183.0,0.6665439,0.1863112,0.14714497
1.0,1.0,34.0,219.0,England,183.0,3.0,183.0,0.6681861,0.18677025,0.14504357
1.0,1.0,34.0,220.0,England,183.0,3.0,183.0,0.6681861,0.18677025,0.14504357
1.0,1.0,34.0,221.0,England,183.0,3.0,183.0,0.6681861,0.18677025,0.14504357
1.0,1.0,35.0,222.0,England,183.0,3.0,183.0,0.6044463,0.22931391,0.16623977
1.0,1.0,35.0,223.0,England,183.0,3.0,183.0,0.6044463,0.22931391,0.16623977
1.0,1.0,35.0,224.0,England,184.0,3.0,184.0,0.58250636,0.23135678,0.18613684
1.0,1.0,35.0,225.0,England,185.0,3.0,185.0,0.6044463,0.22931391,0.16623977
1.0,1.0,35.0,226.0,England,185.0,3.0,185.0,0.6044463,0.22931391,0.16623977
1.0,1.0,35.0,227.0,England,185.0,3.0,185.0,0.6044463,0.22931391,0.16623977
1.0,1.0,36.0,228.0,England,185.0,3.0,185.0,0.68216234,0.13675158,0.18108612
1.0,1.0,36.0,229.0,England,186.0,3.0,186.0,0.68216234,0.13675158,0.18108612
1.0,1.0,36.0,230.0,England,186.0,3.0,186.0,0.6860283,0.13752659,0.17644513
1.0,1.0,36.0,231.0,England,186.0,3.0,186.0,0.6860283,0.13752659,0.17644513
1.0,1.0,36.0,232.0,England,187.0,3.0,187.0,0.72032404,0.12761903,0.15205693
1.0,1.0,36.0,233.0,England,187.0,3.0,187.0,0.7206858,0.1276831,0.15163107
1.0,1.0,36.0,234.0,England,187.0,3.0,187.0,0.7206858,0.1276831,0.15163107
1.0,1.0,37.0,235.0,England,187.0,4.0,187.0,0.51746035,0.36839622,0.11414344
1.0,1.0,37.0,236.0,England,187.0,4.0,187.0,0.51746035,0.36839622,0.11414344
1.0,1.0,37.0,237.0,England,187.0,4.0,187.0,0.51746035,0.36839622,0.11414344
1.0,1.0,37.0,238.0,England,187.0,4.0,187.0,0.51746035,0.36839622,0.11414344
1.0,1.0,37.0,239.0,England,191.0,4.0,191.0,0.52740383,0.35762492,0.1149713
1.0,1.0,37.0,240.0,England,191.0,4.0,191.0,0.52740383,0.35762492,0.1149713
1.0,1.0,38.0,241.0,England,191.0,4.0,191.0,0.66010034,0.1846763,0.15522337
1.0,1.0,38.0,242.0,England,191.0,4.0,191.0,0.6629284,0.18546751,0.1516041
1.0,1.0,38.0,243.0,England,191.0,4.0,191.0,0.6629284,0.18546751,0.1516041
1.0,1.0,38.0,244.0,England,191.0,4.0,191.0,0.6629284,0.18546751,0.1516041
1.0,1.0,38.0,245.0,England,193.0,4.0,193.0,0.6629284,0.18546751,0.1516041
1.0,1.0,38.0,246.0,England,193.0,4.0,193.0,0.6592854,0.18444832,0.1562663
1.0,1.0,39.0,247.0,England,193.0,4.0,193.0,0.5269214,0.35729778,0.11578084
1.0,1.0,39.0,248.0,England,193.0,4.0,193.0,0.5269214,0.35729778,0.11578084
1.0,1.0,39.0,249.0,England,193.0,4.0,193.0,0.5269214,0.35729778,0.11578084
1.0,1.0,39.0,250.0,England,193.0,4.0,193.0,0.5269214,0.35729778,0.11578084
1.0,1.0,39.0,251.0,England,195.0,4.0,195.0,0.5269214,0.35729778,0.11578084
1.0,1.0,39.0,252.0,England,196.0,4.0,196.0,0.56774265,0.2836882,0.1485692
1.0,1.0,40.0,253.0,England,197.0,4.0,197.0,0.6592854,0.18444832,0.1562663
1.0,1.0,40.0,254.0,England,197.0,4.0,197.0,0.6592854,0.18444832,0.1562663
1.0,1.0,40.0,255.0,England,197.0,4.0,197.0,0.6592854,0.18444832,0.1562663
1.0,1.0,40.0,256.0,England,197.0,4.0,197.0,0.6592854,0.18444832,0.1562663
1.0,1.0,40.0,257.0,England,201.0,4.0,201.0,0.68916965,0.14748083,0.16334957
1.0,1.0,40.0,258.0,England,201.0,4.0,201.0,0.68916965,0.14748083,0.16334957
1.0,1.0,41.0,259.0,England,201.0,4.0,201.0,0.5712441,0.30323598,0.1255199
1.0,1.0,41.0,260.0,England,201.0,4.0,201.0,0.56905234,0.3020725,0.12887515
1.0,1.0,41.0,261.0,England,201.0,4.0,201.0,0.56905234,0.3020725,0.12887515
1.0,1.0,41.0,262.0,England,201.0,4.0,201.0,0.56905234,0.3020725,0.12887515
